Codice identificativo	Regione	Nome carcere	Tipo carcere	Latitude	Longitude	Numero stanze	Stanze non disponibili	Percentuale stanze non disponibili					
MII180426	Campania	Salerno	Casa circondariale	40,6521175	14,85032945	130	0	0					
MII180437	Piemonte	Saluzzo	Casa di reclusione	44,6446052	7,4926009	275	0	0					
MII180476	Puglia	San Severo	Casa circondariale	41,6893215	15,3708272	38	0	0					
MII181115	Toscana	Siena	Casa circondariale	43,31814595	11,33794054	39	0	0					
MII181125	Sicilia	Siracusa	Casa circondariale	37,03487355	15,16261221	245	0	0					
MII181346	Lombardia	Sondrio	Casa circondariale	46,32336235	10,25841367	20	0	0					
MII181385	Sardegna	Tempio Pausania	Casa di reclusione	40,8973821	9,1035159	90	0	0					
MII181401	Sicilia	Termini Imerese	Casa circondariale	37,983651	13,695554	51	0	0					
MII181407	Umbria	Terni	Casa circondariale	42,5545755	12,5982445	281	0	0					
MII181417	Friuli-Venezia Giulia	Tolmezzo	Casa circondariale	46,4185706865333	13,0180531668208	149	0	0					
MII181440	Puglia	Trani femminile	Casa di reclusione	41,275354	16,3959453	19	0	0					
MII181672	Friuli-Venezia Giulia	Udine	Casa circondariale	46,06711525	13,24805433	62	0	0					
MII181681	Puglia	Turi	Casa di reclusione	40,91732385	17,01893088	42	0	0					
MII181691	Campania	Vallo della Lucania	Casa circondariale	40,229704	15,26576	10	0	0					
MII181703	Lombardia	Varese	Casa circondariale	45,8175359	8,8263438	47	0	0					
MII181847	Veneto	Venezia Giudecca	Casa di reclusione femminile	45,42608215	12,31826224	28	0	0					
MII181863	Veneto	Venezia Santa Maria Maggiore	Casa circondariale	45,435422	12,31724323	86	0	0					
MII181870	Piemonte	Verbania	Casa circondariale	45,9221715	8,5516789	37	0	0					
